Magnetic Field Strength (10X), ChA, Run #13
Time (s)	Magnetic Field Strength (10X) (T)
0.0000	0.0016797388
0.1000	0.0016797388
0.2000	0.0016797388
0.3000	0.0016797388
0.4000	0.0016797388
0.5000	0.0016846217
0.6000	0.0016797388
0.7000	0.0016846217
0.8000	0.0016846217
0.9000	0.0016797388
1.0000	0.0016797388
1.1000	0.0016797388
1.2000	0.0016846217
1.3000	0.0016797388
1.4000	0.0016846217
1.5000	0.0016797388
1.6000	0.0016846217
1.7000	0.0016797388
1.8000	0.0016846217
1.9000	0.0016797388
2.0000	0.0016846217
2.1000	0.0016797388
2.2000	0.0016846217
2.3000	0.0016797388
2.4000	0.0016846217
2.5000	0.0016797388
2.6000	0.0016846217
2.7000	0.0016846217
2.8000	0.0016797388
2.9000	0.0016797388
3.0000	0.0016797388
3.1000	0.0016797388
3.2000	0.0016846217
3.3000	0.0016797388
3.4000	0.0016797388
3.5000	0.0016797388
3.6000	0.0016797388
3.7000	0.0016797388
3.8000	0.0016797388
3.9000	0.0016797388
4.0000	0.0016797388
4.1000	0.0016846217
4.2000	0.0016797388
4.3000	0.0016797388
4.4000	0.0016797388
4.5000	0.0016797388
4.6000	0.0016797388
4.7000	0.0016797388
4.8000	0.0016797388
4.9000	0.0016797388
5.0000	0.0016797388
5.1000	0.0016846217
5.2000	0.0016797388
5.3000	0.0016797388
5.4000	0.0016797388
5.5000	0.0016797388
5.6000	0.0016846217
5.7000	0.0016846217
5.8000	0.0016797388
5.9000	0.0016797388
6.0000	0.0016846217
6.1000	0.0016797388
6.2000	0.0016797388
6.3000	0.0016797388
6.4000	0.0016797388
6.5000	0.0016797388
6.6000	0.0016846217
6.7000	0.0016797388
6.8000	0.0016797388
6.9000	0.0016797388
7.0000	0.0016748558
7.1000	0.0016797388
7.2000	0.0016797388
7.3000	0.0016797388
7.4000	0.0016797388
7.5000	0.0016748558
7.6000	0.0016748558
7.7000	0.0016748558
7.8000	0.0016797388
7.9000	0.0016797388
8.0000	0.0016797388
8.1000	0.0016748558
8.2000	0.0016797388
8.3000	0.0016797388
8.4000	0.0016797388
8.5000	0.0016797388
8.6000	0.0016797388
8.7000	0.0016797388
8.8000	0.0016797388
8.9000	0.0016797388
9.0000	0.0016797388
9.1000	0.0016846217
9.2000	0.0016797388
9.3000	0.0016797388
9.4000	0.0016797388
9.5000	0.0016797388
9.6000	0.0016797388
9.7000	0.0016797388
9.8000	0.0016846217
9.9000	0.0016797388
10.0000	0.0016797388
